experiment_cohort,day_of_experiment,device_type,gender,region,age,total_artists_last_100_days,minutes_listening_during_experiment,user_id
control,3,tablet,M,south,23.7,95,41.8,437525684
control,5,tablet,M,south,32.7,27,34.9,191369993
control,5,tablet,M,south,27.9,105,29.8,688351485
control,6,tablet,M,south,22.8,51,29.5,372631706
control,7,tablet,M,south,22.9,93,16,646652829
control,9,tablet,M,south,29.9,138,32,80431938
control,10,tablet,M,south,35.1,53,30.2,572099635
treatment,11,tablet,M,south,44.9,142,72.7,311859793
treatment,12,tablet,M,south,21.2,43,56.3,329356431
control,14,tablet,M,south,19,124,43,700707750
control,14,tablet,M,south,30.7,87,41.9,426434414
treatment,17,tablet,M,south,32,129,73.1,519613939
treatment,18,tablet,M,south,38.6,64,55.4,476434981
treatment,18,tablet,M,south,30.8,38,50.9,243379426
treatment,19,tablet,M,south,34.4,63,87.4,576493951
treatment,19,tablet,M,south,24,92,97.1,536238764
treatment,19,tablet,M,south,24.6,87,55.3,261757666
control,19,tablet,M,south,20.9,49,46.2,150541843
treatment,23,tablet,M,south,29.3,121,50.7,483197000
treatment,23,tablet,M,south,38.3,24,71.2,325611362
treatment,24,tablet,M,south,22.9,149,93.2,75192014
treatment,28,tablet,M,south,20.6,106,35.8,240707731
treatment,28,tablet,M,south,33.4,94,42.6,318664296
control,2,tablet,M,midwest,31.8,128,40.6,470689791
control,2,tablet,M,midwest,22.1,81,37.7,430240053
treatment,3,tablet,M,midwest,27,162,88.8,601504359
treatment,8,tablet,M,midwest,30.3,112,50,297774780
treatment,12,tablet,M,midwest,24.6,129,84.8,129361987
treatment,13,tablet,M,midwest,41.9,52,52.2,684025848
treatment,14,tablet,M,midwest,26.5,87,91.1,575742185
control,17,tablet,M,midwest,38.9,237,23.5,386611355
treatment,21,tablet,M,midwest,24.8,22,97.7,233429211
control,21,tablet,M,midwest,25.5,79,43.7,197049917
control,24,tablet,M,midwest,31.8,208,22.5,130486095
treatment,26,tablet,M,midwest,33.3,70,73.8,614172019
treatment,27,tablet,M,midwest,38.5,148,36,197419094
treatment,2,tablet,M,northeast,20.7,68,31.8,539596841
control,4,tablet,M,northeast,21.7,73,36.6,481772615
treatment,5,tablet,M,northeast,28.1,122,60.2,441149344
control,5,tablet,M,northeast,38.6,80,30.3,676088614
control,10,tablet,M,northeast,26.2,63,46.4,397147281
treatment,13,tablet,M,northeast,26.6,181,84.9,122298548
treatment,14,tablet,M,northeast,20,49,66.1,118467193
treatment,14,tablet,M,northeast,27.6,124,59,620360540
control,14,tablet,M,northeast,20.3,84,51.6,265485524
treatment,17,tablet,M,northeast,21.4,32,112.3,361299085
control,18,tablet,M,northeast,34.6,32,42.3,617331118
control,19,tablet,M,northeast,42.8,70,38.7,335329648
treatment,24,tablet,M,northeast,27.9,70,68.1,485409847
control,27,tablet,M,northeast,25,87,50.6,282333596
control,1,tablet,M,west,18.6,81,40.1,526852865
treatment,3,tablet,M,west,35.5,180,73.4,603702045
control,4,tablet,M,west,30.2,142,29.8,329143026
treatment,5,tablet,M,west,30.9,95,60.4,96792695
control,10,tablet,M,west,43.7,29,36.4,414327877
control,10,tablet,M,west,18.5,52,27.9,472894689
treatment,12,tablet,M,west,21.9,185,61.8,114937161
treatment,14,tablet,M,west,18.5,41,98,234094023
treatment,14,tablet,M,west,36.7,149,83.3,528421206
treatment,20,tablet,M,west,36.3,96,48.1,560302236
control,21,tablet,M,west,20.4,96,34.9,79998737
control,21,tablet,M,west,32.4,109,37.5,548398010
control,22,tablet,M,west,37.6,74,41.6,258882660
control,23,tablet,M,west,24.6,66,34,654268292
control,24,tablet,M,west,24.2,71,41.4,387948790
treatment,27,tablet,M,west,27.2,137,90.7,174921772
control,27,tablet,M,west,22,146,34.8,652168370
treatment,28,tablet,M,west,20.5,117,75.8,533506224
control,2,tablet,M,south,30.3,94,9.9,678033717
control,2,tablet,M,south,42,49,38.1,580738041
treatment,3,tablet,M,south,41.2,77,36.8,374268438
treatment,5,tablet,M,south,34.6,99,109.3,235199467
control,12,tablet,M,south,31.3,100,51.4,383214217
control,12,tablet,M,south,27.2,89,29,352217258
treatment,13,tablet,M,south,18.7,136,61.6,99238527
treatment,13,tablet,M,south,34.1,42,53.4,287175239
control,16,tablet,M,south,28,72,26.9,548571740
control,19,tablet,M,south,26.9,143,54.2,153556174
control,20,tablet,M,south,18.4,60,58.2,163600256
treatment,23,tablet,M,south,37.8,124,80.8,675284684
control,23,tablet,M,south,36.8,59,41.7,102581248
control,24,tablet,M,south,26.7,102,57,526160808
control,27,tablet,M,south,28.3,82,34.7,298116617
treatment,28,tablet,M,south,41.8,85,49.6,521208490
treatment,1,tablet,M,midwest,28,82,82.2,154931368
treatment,2,tablet,M,midwest,34,57,64,672875903
control,3,tablet,M,midwest,18.2,53,43.2,633929442
control,4,tablet,M,midwest,34.6,79,28.8,455834736
treatment,5,tablet,M,midwest,36.9,35,53.2,186567757
control,11,tablet,M,midwest,20.7,42,34.3,226429341
treatment,13,tablet,M,midwest,19.5,59,64.4,333271593
control,14,tablet,M,midwest,24,112,21.8,546548302
control,14,tablet,M,midwest,28.4,68,21.4,487327085
treatment,18,tablet,M,midwest,26.8,150,59.5,335894144
treatment,18,tablet,M,midwest,25.5,79,92.4,133505588
control,20,tablet,M,midwest,48.3,102,36.5,438742672
treatment,21,tablet,M,midwest,36.2,58,60.9,483695010
control,22,tablet,M,midwest,19.2,59,22.1,230136852
control,24,tablet,M,midwest,34.4,136,20.2,296908329
treatment,28,tablet,M,midwest,22.3,128,69.4,532906267
treatment,3,tablet,M,northeast,19.1,113,39.3,87592017
control,5,tablet,M,northeast,24.2,55,21.9,177558628
treatment,8,tablet,M,northeast,36.3,99,67,610829492
control,8,tablet,M,northeast,21.8,109,26.2,418268148
treatment,13,tablet,M,northeast,31.8,107,60.4,649776284
control,15,tablet,M,northeast,31.1,103,53.6,319899604
control,19,tablet,M,northeast,20,90,24.6,254179864
treatment,20,tablet,M,northeast,27.2,133,34.6,339037251
treatment,20,tablet,M,northeast,26,94,36.9,361254370
control,21,tablet,M,northeast,39.1,105,17.5,187444542
control,21,tablet,M,northeast,22.3,47,24.7,470717771
control,21,tablet,M,northeast,20.6,62,24.9,330641663
treatment,22,tablet,M,northeast,32.7,136,70.9,385560622
treatment,23,tablet,M,northeast,19,181,17.3,311397685
treatment,23,tablet,M,northeast,30.2,59,55.1,307839631
treatment,24,tablet,M,northeast,23.9,70,79.6,510277906
treatment,24,tablet,M,northeast,22.7,66,75.8,698179246
treatment,25,tablet,M,northeast,19.7,83,51.5,295876205
control,28,tablet,M,northeast,23.6,67,23.9,673352346
treatment,1,tablet,M,west,42.5,129,90.3,404723783
treatment,1,tablet,M,west,21.5,130,111.1,131866836
control,1,tablet,M,west,45.5,49,71.5,366223610
treatment,4,tablet,M,west,27.9,89,50.7,554001320
control,4,tablet,M,west,26.6,116,47.9,144862493
treatment,5,tablet,M,west,32.8,88,12.9,270893884
control,6,tablet,M,west,18.8,111,20,663222752
control,6,tablet,M,west,33,102,40.1,311176596
control,6,tablet,M,west,24.4,67,25.2,114877960
control,6,tablet,M,west,27.9,124,41.9,152480998
treatment,8,tablet,M,west,33.4,95,82.6,526428798
treatment,8,tablet,M,west,31.1,80,27.7,618627075
control,8,tablet,M,west,28.9,56,25.8,601876160
treatment,10,tablet,M,west,27.9,53,25.8,225658210
control,13,tablet,M,west,21.8,33,39.5,660033881
treatment,16,tablet,M,west,29,54,121.8,167492244
control,16,tablet,M,west,22.1,167,40.6,532043425
control,16,tablet,M,west,32.8,128,31.5,494650039
treatment,18,tablet,M,west,34,136,78.8,121308895
control,19,tablet,M,west,40,90,43.2,94923184
control,19,tablet,M,west,20.7,55,60.5,622967081
control,19,tablet,M,west,34,152,32.4,455489108
control,19,tablet,M,west,23.7,112,23.6,283617438
treatment,20,tablet,M,west,28.1,54,88.9,465655919
treatment,21,tablet,M,west,20.3,35,72.4,171039676
treatment,21,tablet,M,west,22.9,101,82.7,155539297
control,21,tablet,M,west,21.8,58,38.4,387744293
treatment,25,tablet,M,west,55.8,144,73,273152387
treatment,1,tablet,M,south,37.6,101,34,123183356
control,2,tablet,M,south,40,76,23.9,378139511
treatment,3,tablet,M,south,18.5,67,95.8,481456181
control,4,tablet,M,south,31.4,43,35.3,98579336
treatment,6,tablet,M,south,27.2,205,59.4,336250243
control,7,tablet,M,south,29.6,81,36.6,345061715
control,9,tablet,M,south,43.5,94,31.7,574314651
treatment,12,tablet,M,south,33.8,73,69.8,307538225
control,12,tablet,M,south,35.1,127,33,112288535
treatment,13,tablet,M,south,31.9,199,64.8,78595298
control,15,tablet,M,south,21.8,125,19.1,303891292
control,15,tablet,M,south,23.8,72,48.4,568103071
control,15,tablet,M,south,26.9,92,32.9,258916229
control,16,tablet,M,south,26.6,102,43,418291862
control,22,tablet,M,south,34.6,102,43,107614630
control,27,tablet,M,south,43.9,106,34.9,652244771
treatment,28,tablet,M,south,34.9,177,96,574792009
control,28,tablet,M,south,24.8,108,34.3,372714412
treatment,1,tablet,M,midwest,30,33,78.8,284200777
treatment,11,tablet,M,midwest,22,106,60.7,374840981
treatment,11,tablet,M,midwest,23.5,46,61.8,388373500
treatment,13,tablet,M,midwest,38.5,61,59.4,609083149
control,13,tablet,M,midwest,21.2,116,44.9,498572462
control,13,tablet,M,midwest,27.9,114,27.3,603628034
control,14,tablet,M,midwest,18.4,75,41.6,392328760
treatment,17,tablet,M,midwest,32.7,43,64,534544200
treatment,18,tablet,M,midwest,18.1,42,76.4,549091706
control,23,tablet,M,midwest,28.1,53,24.2,514131777
control,28,tablet,M,midwest,29.2,89,40.3,387153642
treatment,2,tablet,M,northeast,29,162,92.3,555355912
control,4,tablet,M,northeast,39.1,159,51.9,443156148
treatment,5,tablet,M,northeast,30.9,23,69.9,694072155
control,5,tablet,M,northeast,39.2,34,35.9,408787542
control,5,tablet,M,northeast,22.7,41,28.3,412872165
control,5,tablet,M,northeast,36.9,39,32.6,76387807
treatment,8,tablet,M,northeast,24.3,138,80.5,299631006
control,8,tablet,M,northeast,37,96,18,369117466
control,8,tablet,M,northeast,26.7,176,40,511659525
treatment,9,tablet,M,northeast,22.1,54,43.6,151452823
control,10,tablet,M,northeast,31.7,107,29.6,690872946
treatment,11,tablet,M,northeast,29.5,129,78,676049431
treatment,12,tablet,M,northeast,21.6,84,87.2,666409917
treatment,12,tablet,M,northeast,25.9,246,89,84810991
control,12,tablet,M,northeast,24.9,76,90.4,325853818
control,14,tablet,M,northeast,28.3,49,24.4,501200563
treatment,16,tablet,M,northeast,40.6,81,60,279828374
control,17,tablet,M,northeast,27,198,38.2,178327108
control,18,tablet,M,northeast,33,27,31.9,555597963
control,19,tablet,M,northeast,31.9,87,28.7,434176481
control,19,tablet,M,northeast,20.9,48,42.3,663714280
control,20,tablet,M,northeast,33.8,75,31,629227239
treatment,24,tablet,M,northeast,22.9,127,94.6,552257547
treatment,26,tablet,M,northeast,21.7,66,73.2,494443488
treatment,26,tablet,M,northeast,24.4,169,82.3,298721072
treatment,27,tablet,M,northeast,36.5,117,107.1,223414539
treatment,28,tablet,M,northeast,21.7,46,54.4,444180911
control,28,tablet,M,northeast,32.6,59,23.1,118682155
treatment,1,tablet,M,west,32.3,35,46.3,250956870
control,1,tablet,M,west,20.9,63,58.7,620946920
control,1,tablet,M,west,36,111,37.7,688034691
control,4,tablet,M,west,26.5,28,48,332232177
control,5,tablet,M,west,39.8,56,30.1,689026799
control,9,tablet,M,west,30.7,98,40.4,708575155
control,10,tablet,M,west,28.3,71,42.4,641755360
treatment,11,tablet,M,west,28.2,83,39.2,326454686
control,12,tablet,M,west,34.9,187,36.7,239960806
control,14,tablet,M,west,42.7,71,48.2,73042502
control,15,tablet,M,west,31.1,66,35.1,626666109
control,15,tablet,M,west,46.4,24,38.1,442373565
control,15,tablet,M,west,20.6,43,45.7,608677575
control,16,tablet,M,west,22.4,103,22.6,685905779
treatment,17,tablet,M,west,26.9,104,47.5,238367872
treatment,17,tablet,M,west,19.4,85,87,123237371
treatment,17,tablet,M,west,26.4,135,42,76621703
control,17,tablet,M,west,25.2,61,37.6,550154794
treatment,19,tablet,M,west,18.4,28,31.4,441711536
control,19,tablet,M,west,28,196,45.5,420850975
control,20,tablet,M,west,34.5,113,52.7,547010077
control,20,tablet,M,west,35.3,139,46.8,459889723
treatment,23,tablet,M,west,38.1,200,50.6,175933027
control,26,tablet,M,west,34.5,58,42.2,239566105
control,26,tablet,M,west,46.4,27,43.8,108890266
control,27,tablet,M,west,31.5,28,57,567672221
control,1,tablet,M,south,31.3,40,47.1,377261497
treatment,4,tablet,M,south,25.2,42,50.1,578153149
control,5,tablet,M,south,31.2,174,42.8,495829090
control,6,tablet,M,south,22,89,54.5,78300453
control,11,tablet,M,south,23.7,105,42.5,335910977
treatment,13,tablet,M,south,28.5,77,53.2,247165101
control,16,tablet,M,south,24,49,24.9,229498931
control,17,tablet,M,south,23.9,216,33.1,617265237
treatment,18,tablet,M,south,34.4,82,55.2,698928338
control,18,tablet,M,south,43.5,65,12.6,531016895
control,19,tablet,M,south,23.7,29,39.9,484191914
control,19,tablet,M,south,32.6,128,40.4,565128999
control,19,tablet,M,south,24.5,67,36,473840838
treatment,22,tablet,M,south,36.7,60,70.7,159845526
control,24,tablet,M,south,28.7,78,38,458621757
control,25,tablet,M,south,41.6,113,49.4,545027641
control,25,tablet,M,south,27.3,39,20.3,585616706
treatment,27,tablet,M,south,18.5,75,46.4,106527061
control,1,tablet,M,midwest,27,159,33.5,322836749
treatment,3,tablet,M,midwest,19.1,142,55.7,242459138
treatment,17,tablet,M,midwest,27.2,67,48.8,690078240
treatment,24,tablet,M,midwest,24.3,67,91.6,465375472
treatment,24,tablet,M,midwest,25.8,53,52.3,221380693
control,24,tablet,M,midwest,29.5,78,32.3,254547456
treatment,27,tablet,M,midwest,30.5,163,53.7,199050984
control,27,tablet,M,midwest,42.6,52,38.5,415874957
treatment,1,tablet,M,northeast,35.2,58,112.4,680766125
control,1,tablet,M,northeast,30.8,67,38,309097792
control,2,tablet,M,northeast,30.3,98,44.2,140393683
control,2,tablet,M,northeast,19.5,43,35.4,309936474
treatment,5,tablet,M,northeast,19.2,53,75.9,251411654
control,5,tablet,M,northeast,21.2,81,33.2,233613105
treatment,6,tablet,M,northeast,21.6,56,74.4,680985030
treatment,7,tablet,M,northeast,19,124,96.1,369197141
control,7,tablet,M,northeast,27.1,69,36.8,120537888
control,10,tablet,M,northeast,20.4,222,43,508364192
treatment,11,tablet,M,northeast,24.1,93,65.5,196721647
control,13,tablet,M,northeast,24.4,62,43.5,611471531
control,14,tablet,M,northeast,47.6,57,34,588900127
control,15,tablet,M,northeast,32.6,184,29.9,489075662
treatment,16,tablet,M,northeast,28.5,55,41.9,222146154
control,17,tablet,M,northeast,49.4,100,27.5,474665060
control,17,tablet,M,northeast,30.6,56,39,466916919
control,20,tablet,M,northeast,22.6,65,41.3,458630388
control,21,tablet,M,northeast,42.4,92,48.3,660854520
treatment,24,tablet,M,northeast,24,109,104.2,254825284
control,24,tablet,M,northeast,44.9,40,36.1,562267383
treatment,26,tablet,M,northeast,40.9,73,40.3,479623704
treatment,26,tablet,M,northeast,31.2,102,75.7,410631160
treatment,26,tablet,M,northeast,38.6,103,88.7,178423382
control,28,tablet,M,northeast,18.5,43,36.1,631592808
control,28,tablet,M,northeast,23,72,46.3,355183032
treatment,6,tablet,M,west,38.7,64,41.9,430641855
treatment,7,tablet,M,west,36.2,90,69.4,704295026
control,7,tablet,M,west,43.2,191,23.2,515195975
treatment,11,tablet,M,west,21.7,31,41.8,456442764
control,11,tablet,M,west,48,111,35.6,107640484
control,19,tablet,M,west,31.8,76,31.8,385119023
treatment,21,tablet,M,west,24.6,92,40.6,400746242
control,21,tablet,M,west,31.5,103,34.5,159955079
treatment,22,tablet,M,west,38.1,182,52.8,562759320
control,23,tablet,M,west,38,71,36.3,512105856
control,24,tablet,M,west,24.5,82,36.9,605227536
treatment,27,tablet,M,west,30.3,202,77.8,232454833
control,5,tablet,M,south,19,33,24.9,305688113
treatment,6,tablet,M,south,19,77,77.2,638915391
treatment,6,tablet,M,south,32.5,43,96.8,209126673
treatment,10,tablet,M,south,30.8,87,77.5,124468338
treatment,11,tablet,M,south,30.4,80,59.4,474761240
treatment,12,tablet,M,south,24,35,24.2,599695634
control,12,tablet,M,south,29.2,58,42.9,317722614
treatment,17,tablet,M,south,19,93,64.2,702621841
control,17,tablet,M,south,45,86,40,578166459
treatment,18,tablet,M,south,34.1,82,62.3,249833256
treatment,21,tablet,M,south,36.8,65,61.3,329274944
treatment,24,tablet,M,south,27.3,187,68.4,674207263
control,24,tablet,M,south,24.4,60,59.2,431868516
treatment,25,tablet,M,south,18.9,39,89.5,161968757
control,6,tablet,M,midwest,28.3,46,48.1,501568779
treatment,8,tablet,M,midwest,32.7,34,103.9,165868104
control,9,tablet,M,midwest,27.3,95,43.2,260983452
treatment,16,tablet,M,midwest,40.8,91,66.2,391857541
control,16,tablet,M,midwest,28.3,69,50.9,346503125
control,17,tablet,M,midwest,32.5,76,52,338034178
control,26,tablet,M,midwest,22.1,139,33.7,398382006
control,2,tablet,M,northeast,40.2,80,23,463777950
treatment,3,tablet,M,northeast,28,59,93.1,645632975
control,3,tablet,M,northeast,42.7,28,35,702966808
control,3,tablet,M,northeast,32.6,120,25.6,143184461
control,4,tablet,M,northeast,20.5,114,59.3,664310213
treatment,6,tablet,M,northeast,43.6,112,39.4,558147578
control,8,tablet,M,northeast,32.4,74,29.8,590392298
control,9,tablet,M,northeast,28.9,37,32.3,366222442
control,12,tablet,M,northeast,29.3,54,44.5,182574297
control,13,tablet,M,northeast,36.8,55,35.9,126060419
control,15,tablet,M,northeast,31.4,104,50.2,572508186
treatment,17,tablet,M,northeast,19.6,15,40.9,375509948
treatment,17,tablet,M,northeast,19.9,43,66.7,699747670
treatment,20,tablet,M,northeast,33.6,117,53.4,257057992
control,22,tablet,M,northeast,24.8,106,40.7,398247307
control,24,tablet,M,northeast,35.5,97,63.8,666480066
control,24,tablet,M,northeast,18.3,72,33.6,252669987
treatment,25,tablet,M,northeast,20.8,151,75.5,163876458
treatment,26,tablet,M,northeast,19,41,68.6,568658909
control,26,tablet,M,northeast,24.9,97,25.3,609650148
control,26,tablet,M,northeast,31.5,72,45.4,690358959
control,27,tablet,M,northeast,29,34,49,147097531
treatment,28,tablet,M,northeast,18.2,43,94.5,335310535
treatment,3,tablet,M,west,28.6,57,90.3,434734055
treatment,3,tablet,M,west,21.2,184,96.4,212467201
control,3,tablet,M,west,28.6,62,52.1,481272901
treatment,4,tablet,M,west,28.5,118,52.4,604225202
treatment,8,tablet,M,west,39.6,69,45.1,696830405
treatment,11,tablet,M,west,20.7,100,81.9,276569151
treatment,12,tablet,M,west,36.7,81,60.2,334368504
treatment,13,tablet,M,west,44.4,151,82.4,429651248
control,18,tablet,M,west,22.6,132,30.6,156169798
treatment,19,tablet,M,west,34.3,99,64.6,280210503
treatment,19,tablet,M,west,27,153,71.7,124585697
control,20,tablet,M,west,31.8,62,32.6,513866467
control,20,tablet,M,west,26.8,113,23.6,354506079
control,22,tablet,M,west,25.9,141,38.1,198189539
treatment,23,tablet,M,west,20.6,50,49.6,434619396
control,24,tablet,M,west,25.6,82,41.7,451843827
treatment,26,tablet,M,west,18.5,178,38,502577610
treatment,27,tablet,M,west,25.9,117,34.9,698734806
treatment,28,tablet,M,west,23.8,56,70.3,263471374
treatment,1,tablet,M,south,18.4,109,68.5,422610280
control,1,tablet,M,south,27.6,73,49.5,557932791
control,3,tablet,M,south,28,64,24.2,291168601
treatment,9,tablet,M,south,26,60,40.7,137539992
control,9,tablet,M,south,19.7,63,35.1,389116014
control,11,tablet,M,south,34.9,112,46.2,427088294
control,11,tablet,M,south,41.1,41,28.8,507896292
treatment,12,tablet,M,south,20.6,131,69.1,180528138
control,13,tablet,M,south,27.2,120,29.9,344477526
control,13,tablet,M,south,23.1,64,52.5,406890612
treatment,16,tablet,M,south,27.4,80,37.2,404136857
control,21,tablet,M,south,19.1,131,54.1,163967137
control,22,tablet,M,south,32.1,127,28.1,252253107
control,23,tablet,M,south,21.8,30,44,676375761
treatment,25,tablet,M,south,19.2,96,47,661625874
control,27,tablet,M,south,19.6,179,31.5,352843571
control,28,tablet,M,south,31.8,51,34.3,405129744
treatment,1,tablet,M,midwest,24.2,31,22.3,646805515
treatment,1,tablet,M,midwest,22.1,68,20.9,423866921
control,1,tablet,M,midwest,20.7,75,30.5,201881026
control,1,tablet,M,midwest,33.1,112,32.5,508811282
control,2,tablet,M,midwest,32.4,107,40.1,666281898
treatment,4,tablet,M,midwest,38.7,39,77.9,606623221
treatment,9,tablet,M,midwest,31.1,115,45,569542271
control,19,tablet,M,midwest,33,37,35.5,664833932
treatment,20,tablet,M,midwest,28.1,71,77,386111118
treatment,24,tablet,M,midwest,22.8,61,58.2,397782265
control,28,tablet,M,midwest,26.9,103,46.3,553357405
control,28,tablet,M,midwest,43.6,132,38.5,525076385
control,28,tablet,M,midwest,39.2,53,30.2,391842575
treatment,2,tablet,M,northeast,27.2,113,69.5,576624161
treatment,3,tablet,M,northeast,33.7,57,25,675406239
control,3,tablet,M,northeast,37.3,133,44.3,402142970
control,5,tablet,M,northeast,28.3,55,38.3,601735269
treatment,7,tablet,M,northeast,36,107,70.2,596008093
control,9,tablet,M,northeast,30,78,49.3,384706804
control,11,tablet,M,northeast,33.6,17,29.2,171667788
control,12,tablet,M,northeast,20.1,158,23.8,274921361
treatment,15,tablet,M,northeast,62.7,89,47.4,505561062
control,15,tablet,M,northeast,23.9,136,50.4,155064819
treatment,17,tablet,M,northeast,30.1,82,41.6,150408614
control,18,tablet,M,northeast,22.6,89,37.2,538338198
treatment,20,tablet,M,northeast,19.6,75,42.6,464095798
control,20,tablet,M,northeast,31.3,40,33.2,534731790
control,23,tablet,M,northeast,25.6,181,19.1,268292269
treatment,24,tablet,M,northeast,18.4,93,78.7,440791401
treatment,27,tablet,M,northeast,20,79,72.1,369058676
control,1,tablet,M,west,29,172,51,338712524
treatment,2,tablet,M,west,20.2,78,46.4,186867611
treatment,4,tablet,M,west,40.9,145,76.7,540814238
treatment,5,tablet,M,west,25.8,157,44.6,320272954
control,5,tablet,M,west,22.2,54,99.4,351129068
control,7,tablet,M,west,23.7,55,32.3,160911775
treatment,8,tablet,M,west,20.4,46,54.2,415953067
control,9,tablet,M,west,31.1,79,65.9,487400005
control,9,tablet,M,west,24.9,254,31.5,312090470
treatment,10,tablet,M,west,31.5,31,75.8,80092564
treatment,11,tablet,M,west,18,151,61.4,270033084
control,11,tablet,M,west,31.4,36,42.8,669918326
treatment,13,tablet,M,west,26.1,33,109.7,557692981
control,13,tablet,M,west,35.8,101,21,548868330
treatment,14,tablet,M,west,18,67,93,296071510
control,15,tablet,M,west,34.6,53,35.1,570691629
control,16,tablet,M,west,48.8,55,31.9,234417018
treatment,17,tablet,M,west,20.2,53,74,164934974
treatment,17,tablet,M,west,31.3,137,115,360334068
control,17,tablet,M,west,28,86,56.4,103739384
control,18,tablet,M,west,39.1,108,43.4,85074958
control,24,tablet,M,west,34.3,134,18.6,75167889
treatment,25,tablet,M,west,22.8,53,73.8,705718648
control,25,tablet,M,west,102,27,42.2,441832078
control,25,tablet,M,west,24.6,36,28.1,366305156
treatment,27,tablet,M,west,27.6,70,85.3,396795658
control,28,tablet,M,west,30.3,51,33.1,194868542
treatment,1,tablet,M,south,18.1,30,81.6,519251823
control,2,tablet,M,south,24,88,48.9,288351881
control,5,tablet,M,south,20.9,60,18.2,179999621
control,5,tablet,M,south,23.7,58,23.2,234528118
treatment,8,tablet,M,south,24.8,115,86,591159929
treatment,10,tablet,M,south,34.2,61,53.1,323910388
treatment,13,tablet,M,south,20.9,79,68.8,642902677
control,14,tablet,M,south,18.2,158,52.3,194462887
treatment,16,tablet,M,south,24,67,97.2,696126570
treatment,17,tablet,M,south,29.9,73,37.1,529518496
control,17,tablet,M,south,21.6,104,58.6,288580695
control,20,tablet,M,south,36.6,136,35.5,259371933
treatment,21,tablet,M,south,22.6,46,76,507578606
control,25,tablet,M,south,19.5,70,43.1,674932382
treatment,27,tablet,M,south,41.6,83,44.8,112062520
control,3,tablet,M,midwest,25,130,37.9,660020984
treatment,5,tablet,M,midwest,24,82,74.1,407727806
control,7,tablet,M,midwest,23.7,75,54.5,457567286
control,8,tablet,M,midwest,27,102,21.7,345683054
treatment,9,tablet,M,midwest,19.8,51,92.2,639841425
treatment,12,tablet,M,midwest,42.4,144,67.8,332663014
control,14,tablet,M,midwest,35.1,116,40.7,212401633
treatment,17,tablet,M,midwest,26.5,70,36.4,318001189
control,18,tablet,M,midwest,45.3,109,46.2,635983523
treatment,21,tablet,M,midwest,35.2,94,87,250899883
treatment,23,tablet,M,midwest,41.9,68,51.9,706249902
control,26,tablet,M,midwest,22.7,31,33.7,347213667
control,27,tablet,M,midwest,30.3,19,33.9,451773524
treatment,1,tablet,M,northeast,42.2,147,78.2,268874359
treatment,2,tablet,M,northeast,41.4,67,36.9,286886151
treatment,4,tablet,M,northeast,26.4,97,45.6,527414187
treatment,5,tablet,M,northeast,26.2,115,50.3,211826607
treatment,6,tablet,M,northeast,33.1,37,73.6,532643448
control,7,tablet,M,northeast,25.3,95,33.2,279924740
treatment,9,tablet,M,northeast,23.7,105,44.7,490022859
control,10,tablet,M,northeast,31.9,54,42.4,131663028
control,11,tablet,M,northeast,20.1,144,40.4,477993783
control,14,tablet,M,northeast,23.2,32,31.1,602540640
control,14,tablet,M,northeast,39.8,149,31,446439003
control,16,tablet,M,northeast,26.4,110,40,203814099
treatment,18,tablet,M,northeast,23.6,89,47.2,693421235
treatment,20,tablet,M,northeast,18,76,57.8,598682795
treatment,20,tablet,M,northeast,23.2,119,71,233304284
control,20,tablet,M,northeast,48.2,108,50,347089254
control,20,tablet,M,northeast,52.8,22,23.6,583967855
treatment,21,tablet,M,northeast,24.5,93,106.3,672184163
treatment,21,tablet,M,northeast,20.2,145,56.6,689499514
treatment,23,tablet,M,northeast,29.6,46,68.2,268925340
control,24,tablet,M,northeast,38.4,90,30.8,709411377
treatment,28,tablet,M,northeast,19.9,106,97.7,185282372
control,28,tablet,M,northeast,37.9,32,43.5,556043796
control,28,tablet,M,northeast,26.2,102,37.4,467853783
treatment,4,tablet,M,west,42.3,31,42.2,376397225
control,4,tablet,M,west,18.5,54,30.5,423569356
control,4,tablet,M,west,40.3,77,40.1,447121508
control,5,tablet,M,west,28.9,95,42,620414110
control,5,tablet,M,west,27.5,46,44.9,151019075
control,5,tablet,M,west,32.8,86,41.6,172921800
control,6,tablet,M,west,40,85,48.4,633908439
control,6,tablet,M,west,29.3,114,33.3,139037534
treatment,8,tablet,M,west,22.8,24,81,522170678
treatment,10,tablet,M,west,25.2,90,52.7,450412623
control,14,tablet,M,west,27.9,68,21.5,299574004
control,15,tablet,M,west,22.6,100,34.7,671498276
treatment,17,tablet,M,west,35.9,83,66.4,223624887
treatment,18,tablet,M,west,33.7,105,30.6,363248215
control,19,tablet,M,west,23.2,80,19.3,394329432
control,19,tablet,M,west,28,95,50.9,663580102
control,25,tablet,M,west,20.6,59,21.5,390882810
treatment,27,tablet,M,west,29.3,51,104,96693538
treatment,28,tablet,M,west,26.9,107,32,603437477
control,1,tablet,M,south,35,47,34.7,242878544
control,1,tablet,M,south,37.3,43,33.8,676164624
control,4,tablet,M,south,30.6,78,43.1,272780907
control,9,tablet,M,south,31.9,135,36.6,128985759
control,10,tablet,M,south,41.3,81,28.9,446345211
control,10,tablet,M,south,19.2,91,36.4,605087566
control,12,tablet,M,south,43.5,77,23.5,102913632
treatment,13,tablet,M,south,35.3,80,49.6,507621580
